team,mu,sigma,lower_95,upper_95
SAS,1952.270852187416,48.12939795909665,1857.9372321875867,2046.6044721872454
NYK,1909.1289208037513,47.64267611671174,1815.7492756149963,2002.5085659925062
OKC,1838.9491909438905,42.087990161832494,1756.4567302266987,1921.4416516610822
CHA,1683.2795898398213,51.095960518600904,1583.1315072233635,1783.427672456279
DET,1667.313714031225,51.40710459424745,1566.5557890265,1768.0716390359498
DEN,1636.8813766161388,53.00188526411287,1532.9976814984775,1740.7650717338001
CLE,1636.7653225115657,47.870100348955376,1542.9399258276133,1730.5907191955182
MIN,1628.4163506785085,52.991162213884586,1524.5536727392946,1732.2790286177224
BOS,1624.27778444896,49.78797187712997,1526.6933595697851,1721.8622093281347
LAL,1618.5006391334505,50.245146618675165,1520.020151760847,1716.981126506054
HOU,1606.095067893037,53.268752753783225,1501.6883124956219,1710.501823290452
ORL,1579.3954659409642,53.94593535665895,1473.6614326419126,1685.1294992400158
PHI,1579.2752889932203,50.83951294995225,1479.6298436113138,1678.9207343751268
TOR,1558.6641629225428,51.94537588681801,1456.8512261843796,1660.477099660706
LAC,1539.6428453372848,51.55721444311645,1438.5907050287765,1640.6949856457932
POR,1531.9036933430566,51.44793443316964,1431.065741854044,1632.7416448320691
MIA,1523.4129157459288,55.237022276717056,1415.1483520835634,1631.6774794082942
ATL,1516.7883085739122,54.08130540478615,1410.7889499805315,1622.787667167293
PHX,1492.518439049187,50.552131023902405,1393.4362622423382,1591.6006158560358
NOP,1376.4420648665816,46.936061068632036,1284.447385172063,1468.4367445611003
GSW,1356.7187535608907,51.912831361594314,1254.9696040921658,1458.4679030296156
MIL,1307.9264564733112,51.83932996565276,1206.3213697406318,1409.5315432059906
DAL,1302.477909628272,52.493672827108426,1199.5903108871396,1405.3655083694046
SAC,1298.3208390534583,50.60016602987393,1199.1445136349053,1397.4971644720113
CHI,1275.1359256036392,54.51015480752599,1168.2960221808883,1381.97582902639
IND,1272.3426609905357,48.84361574884462,1176.6091741228001,1368.0761478582713
UTA,1206.9074263040623,45.87225069015968,1116.9978149513493,1296.8170376567753
BKN,1196.1554289288879,45.89363625926321,1106.203901860732,1286.1069559970438
MEM,1169.981942705537,48.620214933727084,1074.6863214354319,1265.2775639756421
WAS,1114.1106628909622,43.15665705433801,1029.5236150644596,1198.6977107174648
