date,season,game_type,opponent,is_home,knicks_score,opponent_score,margin,knicks_win,knicks_fgm,knicks_fga,knicks_fg_pct,knicks_fg3m,knicks_fg3a,knicks_fg3_pct,knicks_ftm,knicks_fta,knicks_ft_pct,knicks_oreb,knicks_dreb,knicks_reb,knicks_ast,knicks_tov,knicks_stl,knicks_blk,knicks_pf,knicks_pts,opp_fgm,opp_fga,opp_fg_pct,opp_fg3m,opp_fg3a,opp_fg3_pct,opp_ftm,opp_fta,opp_ft_pct,opp_oreb,opp_dreb,opp_reb,opp_ast,opp_tov,opp_stl,opp_blk,opp_pf,opp_pts,knicks_efg_pct,opp_efg_pct,knicks_tov_margin,rebound_margin,oreb_margin,three_point_attempt_margin,free_throw_attempt_margin,assist_turnover_ratio,opp_assist_turnover_ratio,point_margin,game_type_binary
2024-10-22,2024-25,regular_season,BOS,0,109.0,132.0,-23.0,0,43,78,0.551,11,30,0.367,12,16,0.75,5,29,34,20,12,2,3,12,109,48,95,0.505,29,61,0.475,7,8,0.875,11,29,40,33,4,6,3,15,132,0.6217948717948718,0.6578947368421053,8,-6,-6,-31,8,1.6666666666666667,8.25,-23.0,0
2024-10-25,2024-25,regular_season,IND,1,123.0,98.0,25.0,1,44,84,0.524,12,27,0.444,23,29,0.793,11,32,43,19,12,5,4,18,123,41,83,0.494,3,30,0.1,13,20,0.65,9,24,33,28,16,8,6,24,98,0.5952380952380952,0.5120481927710844,-4,10,2,-3,9,1.5833333333333333,1.75,25.0,0
2024-10-28,2024-25,regular_season,CLE,1,104.0,110.0,-6.0,0,40,90,0.444,9,28,0.321,15,18,0.833,13,30,43,22,16,8,3,21,104,39,82,0.476,12,36,0.333,20,24,0.833,9,32,41,21,14,10,5,20,110,0.49444444444444446,0.5487804878048781,2,2,4,-8,-6,1.375,1.5,-6.0,0
2024-10-30,2024-25,regular_season,MIA,0,116.0,107.0,9.0,1,40,82,0.488,18,40,0.45,18,20,0.9,7,35,42,30,11,8,4,16,116,37,81,0.457,17,40,0.425,16,24,0.667,7,32,39,27,10,6,3,17,107,0.5975609756097561,0.5617283950617284,1,3,0,0,-4,2.727272727272727,2.7,9.0,0
2024-11-01,2024-25,regular_season,DET,0,128.0,98.0,30.0,1,52,101,0.515,18,38,0.474,6,10,0.6,12,33,45,31,10,16,3,14,128,41,81,0.506,11,34,0.324,5,7,0.714,6,32,38,23,22,6,9,12,98,0.6039603960396039,0.5740740740740741,-12,7,6,4,3,3.1,1.0454545454545454,30.0,0
2024-11-04,2024-25,regular_season,HOU,0,97.0,109.0,-12.0,0,34,88,0.386,11,28,0.393,18,21,0.857,13,26,39,20,10,6,4,18,97,43,88,0.489,8,33,0.242,15,18,0.833,11,39,50,21,11,4,6,20,109,0.44886363636363635,0.5340909090909091,-1,-11,2,-5,3,2.0,1.9090909090909092,-12.0,0
2024-11-06,2024-25,regular_season,ATL,0,116.0,121.0,-5.0,0,41,84,0.488,22,47,0.468,12,15,0.8,7,34,41,29,16,5,5,18,116,45,100,0.45,15,38,0.395,16,22,0.727,16,32,48,31,8,12,4,14,121,0.6190476190476191,0.525,8,-7,-9,9,-7,1.8125,3.875,-5.0,0
2024-11-08,2024-25,regular_season,MIL,1,116.0,94.0,22.0,1,43,91,0.473,14,46,0.304,16,19,0.842,14,34,48,35,11,7,3,20,116,36,83,0.434,7,30,0.233,15,23,0.652,11,30,41,20,12,1,5,16,94,0.5494505494505495,0.4759036144578313,-1,7,3,16,-4,3.1818181818181817,1.6666666666666667,22.0,0
2024-11-10,2024-25,regular_season,IND,0,121.0,132.0,-11.0,0,46,83,0.554,7,25,0.28,22,27,0.815,8,31,39,23,14,5,3,20,121,45,88,0.511,21,46,0.457,21,25,0.84,5,27,32,27,10,6,4,22,132,0.5963855421686747,0.6306818181818182,4,7,3,-21,2,1.6428571428571428,2.7,-11.0,0
2024-11-12,2024-25,regular_season,PHI,0,111.0,99.0,12.0,1,44,89,0.494,9,31,0.29,14,15,0.933,8,39,47,31,15,8,5,15,111,31,83,0.373,14,42,0.333,23,24,0.958,9,31,40,19,15,10,6,20,99,0.5449438202247191,0.4578313253012048,0,7,-1,-11,-9,2.066666666666667,1.2666666666666666,12.0,0
2024-11-13,2024-25,regular_season,CHI,1,123.0,124.0,-1.0,0,48,94,0.511,15,37,0.405,12,18,0.667,10,30,40,31,15,7,3,17,123,44,82,0.537,14,36,0.389,22,27,0.815,7,33,40,31,18,10,6,17,124,0.5904255319148937,0.6219512195121951,-3,0,3,1,-9,2.066666666666667,1.7222222222222223,-1.0,0
2024-11-15,2024-25,regular_season,BKN,1,124.0,122.0,2.0,1,44,83,0.53,13,38,0.342,23,28,0.821,8,37,45,25,13,7,6,21,124,39,89,0.438,19,46,0.413,25,28,0.893,10,27,37,27,9,8,2,22,122,0.608433734939759,0.5449438202247191,4,8,-2,-8,0,1.9230769230769231,3.0,2.0,0
2024-11-17,2024-25,regular_season,BKN,1,114.0,104.0,10.0,1,43,88,0.489,13,40,0.325,15,19,0.789,10,37,47,33,8,4,5,23,114,32,76,0.421,17,41,0.415,23,30,0.767,7,28,35,31,9,1,3,19,104,0.5625,0.5328947368421053,-1,12,3,-1,-11,4.125,3.4444444444444446,10.0,0
2024-11-18,2024-25,regular_season,WAS,1,134.0,106.0,28.0,1,51,91,0.56,20,40,0.5,12,13,0.923,7,34,41,37,8,4,1,12,134,43,91,0.473,11,33,0.333,9,16,0.563,12,29,41,23,10,5,3,19,106,0.6703296703296703,0.532967032967033,-2,0,-5,7,-3,4.625,2.3,28.0,0
2024-11-20,2024-25,regular_season,PHX,0,138.0,122.0,16.0,1,50,86,0.581,19,39,0.487,19,21,0.905,10,31,41,30,15,10,0,15,138,45,92,0.489,19,50,0.38,13,17,0.765,11,23,34,30,14,9,2,16,122,0.6918604651162791,0.592391304347826,1,7,-1,-11,4,2.0,2.142857142857143,16.0,0
2024-11-23,2024-25,regular_season,UTA,0,106.0,121.0,-15.0,0,39,100,0.39,17,51,0.333,11,12,0.917,11,29,40,25,9,10,10,19,106,44,87,0.506,19,34,0.559,14,19,0.737,9,43,52,30,18,4,4,19,121,0.475,0.6149425287356322,-9,-12,2,17,-7,2.7777777777777777,1.6666666666666667,-15.0,0
2024-11-25,2024-25,regular_season,DEN,0,145.0,118.0,27.0,1,56,92,0.609,19,36,0.528,14,16,0.875,8,35,43,45,11,5,4,23,145,41,92,0.446,11,33,0.333,25,27,0.926,10,23,33,23,11,5,3,18,118,0.7119565217391305,0.5054347826086957,0,10,-2,3,-11,4.090909090909091,2.090909090909091,27.0,0
2024-11-27,2024-25,regular_season,DAL,0,114.0,129.0,-15.0,0,40,86,0.465,7,29,0.241,27,30,0.9,7,26,33,20,9,9,3,19,114,48,85,0.565,17,33,0.515,16,21,0.762,10,33,43,27,13,6,4,25,129,0.5058139534883721,0.6647058823529411,-4,-10,-3,-4,9,2.2222222222222223,2.076923076923077,-15.0,0
2024-11-29,2024-25,regular_season,CHA,0,99.0,98.0,1.0,1,36,81,0.444,12,32,0.375,15,19,0.789,12,32,44,20,21,7,5,19,99,36,89,0.404,15,47,0.319,11,15,0.733,14,25,39,25,15,8,6,19,98,0.5185185185185185,0.4887640449438202,6,5,-2,-15,4,0.9523809523809523,1.6666666666666667,1.0,0
2024-12-01,2024-25,regular_season,NOP,1,118.0,85.0,33.0,1,42,92,0.457,20,45,0.444,14,16,0.875,14,46,60,30,17,10,9,14,118,35,94,0.372,4,27,0.148,11,17,0.647,13,29,42,20,14,14,9,19,85,0.5652173913043478,0.39361702127659576,3,18,1,18,-1,1.7647058823529411,1.4285714285714286,33.0,0
2024-12-03,2024-25,regular_season,ORL,1,121.0,106.0,15.0,1,43,85,0.506,15,35,0.429,20,20,1.0,5,34,39,30,19,6,4,25,121,38,87,0.437,9,39,0.231,21,25,0.84,9,29,38,20,16,9,4,19,106,0.5941176470588235,0.4885057471264368,3,1,-4,-4,-5,1.5789473684210527,1.25,15.0,0
2024-12-05,2024-25,regular_season,CHA,1,125.0,101.0,24.0,1,41,76,0.539,18,33,0.545,25,32,0.781,6,37,43,29,9,7,4,13,125,40,89,0.449,15,39,0.385,6,10,0.6,10,30,40,27,11,3,4,22,101,0.6578947368421053,0.5337078651685393,-2,3,-4,-6,22,3.2222222222222223,2.4545454545454546,24.0,0
2024-12-07,2024-25,regular_season,DET,1,111.0,120.0,-9.0,0,42,79,0.532,11,34,0.324,16,27,0.593,4,27,31,27,15,11,5,12,111,43,83,0.518,18,36,0.5,16,19,0.842,9,34,43,28,19,7,0,20,120,0.6012658227848101,0.6265060240963856,-4,-12,-5,-2,8,1.8,1.4736842105263157,-9.0,0
