feature,coefficient,abs_coefficient
opp_efg_pct,-2.026534029866941,2.026534029866941
knicks_efg_pct,1.4508781958067536,1.4508781958067536
rebound_margin,1.3692259267109912,1.3692259267109912
knicks_fg3_pct,1.106344394726044,1.106344394726044
knicks_tov_margin,-0.9825941050609436,0.9825941050609436
opp_tov,0.9224293859822952,0.9224293859822952
assist_turnover_ratio,0.7261983781384721,0.7261983781384721
knicks_fta,0.6614582365765874,0.6614582365765874
free_throw_attempt_margin,0.6459552411233128,0.6459552411233128
knicks_fg3a,-0.5443742633824619,0.5443742633824619
opp_fg3_pct,-0.42650935503255183,0.42650935503255183
knicks_ast,0.3872610542126651,0.3872610542126651
opp_fg3a,0.3233470610027675,0.3233470610027675
opp_assist_turnover_ratio,-0.3006746662770462,0.3006746662770462
is_home,-0.2854030101915566,0.2854030101915566
knicks_tov,-0.2413316089922599,0.2413316089922599
opp_oreb,0.1951305696260114,0.1951305696260114
oreb_margin,-0.16887025727650096,0.16887025727650096
knicks_pf,-0.14591934036430798,0.14591934036430798
opp_fta,-0.12301314474267705,0.12301314474267705
game_type_binary,0.09692814356761438,0.09692814356761438
opp_pf,-0.08625321954379883,0.08625321954379883
knicks_oreb,-0.050619170190762584,0.050619170190762584
