game_id,date,season,game_type,team,opponent,is_home,team_score,opponent_score,margin,team_win,team_fgm,team_fga,team_fg_pct,team_fg3m,team_fg3a,team_fg3_pct,team_ftm,team_fta,team_ft_pct,team_oreb,team_dreb,team_reb,team_ast,team_tov,team_stl,team_blk,team_pf,team_pts,opp_fgm,opp_fga,opp_fg_pct,opp_fg3m,opp_fg3a,opp_fg3_pct,opp_ftm,opp_fta,opp_ft_pct,opp_oreb,opp_dreb,opp_reb,opp_ast,opp_tov,opp_stl,opp_blk,opp_pf,opp_pts,team_efg_pct,opp_efg_pct,tov_margin,rebound_margin,oreb_margin,three_point_attempt_margin,free_throw_attempt_margin,assist_turnover_ratio,opp_assist_turnover_ratio,game_type_binary
22400075,2024-10-24,2024-25,regular_season,OKC,DEN,0,102.0,87.0,15.0,1,43,101,0.426,8,36,0.222,8,12,0.667,13,36,49,23,12,9,13,15,102,35,98,0.357,7,38,0.184,10,14,0.714,17,40,57,29,16,11,7,12,87,0.46534653465346537,0.39285714285714285,-4,-8,-4,-2,-2,1.9166666666666667,1.8125,0
22400091,2024-10-26,2024-25,regular_season,OKC,CHI,0,114.0,95.0,19.0,1,45,107,0.421,8,40,0.2,16,20,0.8,9,45,54,21,10,15,5,18,114,32,92,0.348,15,53,0.283,16,22,0.727,11,50,61,23,26,6,2,19,95,0.45794392523364486,0.42934782608695654,-16,-7,-2,-13,-2,2.1,0.8846153846153846,0
22400100,2024-10-27,2024-25,regular_season,OKC,ATL,1,128.0,104.0,24.0,1,44,89,0.494,16,40,0.4,24,32,0.75,11,34,45,26,10,13,12,23,128,36,91,0.396,10,31,0.323,22,29,0.759,17,32,49,24,20,7,4,23,104,0.5842696629213483,0.45054945054945056,-10,-4,-6,9,3,2.6,1.2,0
22400125,2024-10-30,2024-25,regular_season,OKC,SAS,1,105.0,93.0,12.0,1,41,89,0.461,17,41,0.415,6,8,0.75,5,34,39,28,14,18,6,15,105,35,85,0.412,12,36,0.333,11,13,0.846,13,39,52,22,22,6,6,8,93,0.5561797752808989,0.4823529411764706,-8,-13,-8,5,-5,2.0,1.0,0
22400140,2024-11-01,2024-25,regular_season,OKC,POR,0,137.0,114.0,23.0,1,51,95,0.537,19,49,0.388,16,19,0.842,14,31,45,31,13,14,9,29,137,39,83,0.47,15,35,0.429,21,31,0.677,11,25,36,27,19,8,5,17,114,0.6368421052631579,0.5602409638554217,-6,9,3,14,-12,2.3846153846153846,1.4210526315789473,0
22400150,2024-11-02,2024-25,regular_season,OKC,LAC,0,105.0,92.0,13.0,1,36,84,0.429,16,39,0.41,17,19,0.895,3,38,41,25,12,11,3,22,105,32,79,0.405,11,35,0.314,17,26,0.654,10,40,50,23,22,10,7,17,92,0.5238095238095238,0.47468354430379744,-10,-9,-7,4,-7,2.0833333333333335,1.0454545454545454,0
22400163,2024-11-04,2024-25,regular_season,OKC,ORL,1,102.0,86.0,16.0,1,39,85,0.459,12,31,0.387,12,16,0.75,5,37,42,23,17,12,4,21,102,29,82,0.354,5,34,0.147,23,27,0.852,7,34,41,20,19,12,5,16,86,0.5294117647058824,0.38414634146341464,-2,1,-2,-3,-11,1.3529411764705883,1.0526315789473684,0
22400177,2024-11-06,2024-25,regular_season,OKC,DEN,0,122.0,124.0,-2.0,0,44,100,0.44,16,40,0.4,18,23,0.783,13,34,47,29,14,15,6,28,122,42,89,0.472,16,38,0.421,24,33,0.727,13,42,55,34,18,8,6,22,124,0.52,0.5617977528089888,-4,-8,0,2,-10,2.0714285714285716,1.8888888888888888,0
22400192,2024-11-08,2024-25,regular_season,OKC,HOU,1,126.0,107.0,19.0,1,46,90,0.511,14,37,0.378,20,23,0.87,7,34,41,24,11,9,8,23,126,39,90,0.433,11,30,0.367,18,26,0.692,14,34,48,19,17,7,3,18,107,0.5888888888888889,0.49444444444444446,-6,-7,-7,7,-3,2.1818181818181817,1.1176470588235294,0
22400207,2024-11-10,2024-25,regular_season,OKC,GSW,1,116.0,127.0,-11.0,0,42,94,0.447,11,33,0.333,21,26,0.808,14,27,41,25,11,4,6,18,116,45,89,0.506,21,43,0.488,16,23,0.696,13,33,46,35,15,8,3,26,127,0.5053191489361702,0.6235955056179775,-4,-5,1,-10,3,2.272727272727273,2.3333333333333335,0
