game_id,date,season,game_type,team,opponent,team_win,wembanyama_points,wembanyama_player_ts_pct,wembanyama_player_efg_pct,wembanyama_fta,wembanyama_rebounds,wembanyama_blocks,wembanyama_assists,wembanyama_turnovers,wembanyama_pf,wembanyama_plus_minus,team_bench_points,team_bench_rebounds,team_bench_assists,team_bench_plus_minus,opponent_bench_points,opponent_bench_rebounds,opponent_bench_assists,opponent_bench_plus_minus,bench_margin,opp_fg3a,opp_fg3_pct
22400074,2024-10-24,2024-25,regular_season,SAS,DAL,0,17.0,0.4118217054263566,0.3055555555555556,6.0,9.0,1.0,1.0,4.0,1.0,-20.0,36,19,14,29,29,14,8,19,7,44,0.432
22400094,2024-10-26,2024-25,regular_season,SAS,HOU,1,29.0,0.7066276803118908,0.6470588235294118,8.0,7.0,3.0,1.0,3.0,3.0,0.0,28,18,15,4,30,12,5,-18,-2,41,0.317
22400109,2024-10-28,2024-25,regular_season,SAS,HOU,0,14.0,0.4704301075268817,0.4642857142857143,2.0,20.0,4.0,5.0,4.0,3.0,-7.0,42,11,9,7,23,12,3,7,19,37,0.405
22400125,2024-10-30,2024-25,regular_season,SAS,OKC,0,6.0,0.4437869822485207,0.2,4.0,8.0,3.0,2.0,4.0,0.0,-4.0,29,19,4,-27,27,16,10,16,2,41,0.415
22400130,2024-10-31,2024-25,regular_season,SAS,UTA,1,25.0,0.5863039399624765,0.55,3.0,9.0,5.0,7.0,3.0,3.0,43.0,32,11,3,-27,35,19,5,-46,-3,32,0.219
22400146,2024-11-02,2024-25,regular_season,SAS,MIN,1,17.0,0.535264483627204,0.5,2.0,6.0,2.0,3.0,3.0,4.0,13.0,23,13,9,3,29,13,12,0,-6,37,0.297
22400168,2024-11-04,2024-25,regular_season,SAS,LAC,0,24.0,0.505050505050505,0.45454545454545453,4.0,13.0,9.0,3.0,2.0,3.0,-21.0,31,10,3,-10,24,13,12,-17,7,37,0.514
22400173,2024-11-06,2024-25,regular_season,SAS,HOU,0,15.0,0.5040322580645161,0.4642857142857143,2.0,6.0,3.0,0.0,4.0,0.0,-18.0,47,24,12,-62,55,21,10,56,-8,27,0.37
22400183,2024-11-07,2024-25,regular_season,SAS,POR,1,12.0,0.41899441340782123,0.38461538461538464,3.0,8.0,3.0,2.0,4.0,0.0,-7.0,55,15,16,34,31,12,9,-17,24,32,0.281
22400197,2024-11-09,2024-25,regular_season,SAS,UTA,0,24.0,0.7556675062972292,0.7333333333333333,2.0,16.0,7.0,0.0,6.0,3.0,4.0,36,11,10,-8,38,14,5,-11,-2,33,0.303
22400216,2024-11-11,2024-25,regular_season,SAS,SAC,1,34.0,0.743006993006993,0.7272727272727273,2.0,14.0,3.0,6.0,3.0,1.0,24.0,37,9,5,-6,15,4,4,-40,22,38,0.263
22400224,2024-11-13,2024-25,regular_season,SAS,WAS,1,50.0,0.7584951456310679,0.7586206896551724,9.0,6.0,3.0,2.0,1.0,3.0,13.0,48,17,16,-39,38,21,6,-25,10,44,0.409
22400015,2024-11-15,2024-25,regular_season,SAS,LAL,0,28.0,0.56,0.56,0.0,14.0,2.0,5.0,5.0,2.0,-1.0,32,10,8,-31,22,5,0,-18,10,31,0.452
22400232,2024-11-16,2024-25,regular_season,SAS,DAL,0,,,,,,,,,,,33,25,13,11,51,31,9,18,-18,31,0.258
22400025,2024-11-19,2024-25,regular_season,SAS,OKC,1,,,,,,,,,,,32,18,7,6,24,14,1,-14,8,53,0.302
22400262,2024-11-21,2024-25,regular_season,SAS,UTA,1,,,,,,,,,,,44,22,5,6,32,25,5,-18,12,45,0.289
22400269,2024-11-23,2024-25,regular_season,SAS,GSW,1,25.0,0.5492091388400703,0.5238095238095238,4.0,7.0,3.0,9.0,4.0,3.0,16.0,20,22,7,23,37,25,8,-45,-17,44,0.318
22400038,2024-11-26,2024-25,regular_season,SAS,UTA,1,34.0,0.711892797319933,0.6956521739130435,2.0,7.0,3.0,2.0,2.0,1.0,17.0,34,17,12,42,29,8,7,-27,5,35,0.371
22400296,2024-11-27,2024-25,regular_season,SAS,LAL,0,20.0,0.5,0.5,0.0,10.0,3.0,2.0,4.0,1.0,-13.0,29,15,10,-58,34,11,5,34,-5,34,0.382
22400313,2024-12-01,2024-25,regular_season,SAS,SAC,1,34.0,0.8110687022900763,0.7941176470588235,9.0,14.0,3.0,11.0,5.0,5.0,19.0,36,10,8,-14,22,14,3,-4,14,32,0.375
22400057,2024-12-03,2024-25,regular_season,SAS,PHX,0,15.0,0.3972457627118644,0.3611111111111111,2.0,13.0,1.0,7.0,4.0,3.0,-15.0,26,23,6,-17,32,17,10,33,-6,32,0.344
22400331,2024-12-05,2024-25,regular_season,SAS,CHI,0,,,,,,,,,,,39,12,12,-52,41,18,10,25,-2,37,0.459
22400337,2024-12-06,2024-25,regular_season,SAS,SAC,0,,,,,,,,,,,43,20,6,-66,34,6,12,86,9,34,0.471
22400354,2024-12-08,2024-25,regular_season,SAS,NOP,1,25.0,0.7038288288288288,0.65625,4.0,10.0,3.0,1.0,3.0,1.0,5.0,58,32,6,16,24,10,4,3,34,38,0.342
22401215,2024-12-13,2024-25,regular_season,SAS,POR,1,28.0,0.5982905982905983,0.47368421052631576,10.0,7.0,2.0,7.0,3.0,3.0,3.0,23,15,15,-11,16,14,8,7,7,41,0.39
22401218,2024-12-15,2024-25,regular_season,SAS,MIN,0,20.0,0.46904315196998125,0.425,3.0,12.0,7.0,5.0,4.0,4.0,-8.0,27,12,13,-39,38,17,10,35,-11,35,0.343
22400370,2024-12-19,2024-25,regular_season,SAS,ATL,1,42.0,0.7172131147540983,0.6875,12.0,6.0,4.0,5.0,5.0,0.0,17.0,25,12,9,-13,23,21,6,-45,2,38,0.421
22400386,2024-12-21,2024-25,regular_season,SAS,POR,1,30.0,0.7197696737044146,0.625,11.0,7.0,10.0,3.0,1.0,0.0,23.0,50,24,16,17,32,22,8,12,18,43,0.279
22400394,2024-12-23,2024-25,regular_season,SAS,PHI,0,26.0,0.653923541247485,0.631578947368421,2.0,9.0,8.0,4.0,5.0,2.0,-5.0,23,8,6,2,21,13,7,-3,2,44,0.364
22400405,2024-12-25,2024-25,regular_season,SAS,NYK,0,42.0,0.6410256410256411,0.6129032258064516,4.0,18.0,4.0,4.0,4.0,1.0,7.0,18,7,14,1,28,19,4,-9,-10,39,0.333
22400421,2024-12-27,2024-25,regular_season,SAS,BKN,1,19.0,0.6384408602150538,0.6071428571428571,2.0,7.0,6.0,4.0,3.0,4.0,3.0,35,8,8,28,22,17,4,-35,13,41,0.293
22400441,2024-12-29,2024-25,regular_season,SAS,MIN,0,34.0,0.5279503105590062,0.5,5.0,8.0,2.0,2.0,1.0,0.0,5.0,19,12,4,-43,27,12,8,-1,-8,44,0.25
22400451,2024-12-31,2024-25,regular_season,SAS,LAC,1,27.0,0.6404174573055029,0.5833333333333334,7.0,9.0,3.0,5.0,2.0,3.0,22.0,54,29,20,79,28,22,11,-85,26,41,0.268
22400475,2025-01-03,2024-25,regular_season,SAS,DEN,1,35.0,0.7365319865319865,0.7272727272727273,4.0,18.0,2.0,4.0,7.0,5.0,17.0,29,16,6,7,13,6,3,-28,16,39,0.385
22400484,2025-01-04,2024-25,regular_season,SAS,DEN,0,20.0,0.48169556840077066,0.42105263157894735,4.0,23.0,4.0,3.0,4.0,4.0,0.0,38,18,10,-18,18,15,5,-3,20,33,0.303
22400498,2025-01-06,2024-25,regular_season,SAS,CHI,0,23.0,0.5026223776223776,0.5,2.0,14.0,8.0,4.0,5.0,3.0,-6.0,37,17,9,6,14,16,4,-7,23,39,0.333
22400516,2025-01-08,2024-25,regular_season,SAS,MIL,0,10.0,0.5,0.5,0.0,10.0,3.0,1.0,3.0,4.0,-7.0,52,19,8,-31,31,24,7,34,21,42,0.452
22400552,2025-01-13,2024-25,regular_season,SAS,LAL,1,23.0,0.6431767337807607,0.6470588235294118,2.0,8.0,2.0,5.0,1.0,1.0,26.0,27,17,7,28,23,13,4,-37,4,44,0.318
