player_name,games,total_minutes,rotation_included,points,rebounds,assists,turnovers,steals,blocks,fgm,fga,fg3m,fg3a,ftm,fta,personal_fouls,plus_minus,points_per_36,rebounds_per_36,assists_per_36,turnovers_per_36,steals_per_36,blocks_per_36,fouls_per_36,fg3a_per_36,fta_per_36,plus_minus_per_36,efg_pct,fg3_pct,ts_pct,ast_tov_ratio,three_point_attempt_rate,sga_pressure_score,three_point_pressure_score,rebounding_support_score,bench_stability_score
Jose Alvarado,41,584.0,True,240,69,120,38,38,6,91,212,40,116,18,25,59,173,14.794520547945206,4.2534246575342465,7.397260273972603,2.3424657534246576,2.3424657534246576,0.3698630136986301,3.636986301369863,7.1506849315068495,1.5410958904109588,10.664383561643836,0.5235849056603774,0.3448275862068966,0.5381165919282511,3.1578947368421053,0.5471698113207547,0.7840607787958697,0.5117695302772391,0.32925233505326296,0.6164968820675112
OG Anunoby,172,6054.0,True,2985,875,356,262,269,147,1062,2217,398,1047,463,564,417,851,17.750247770069375,5.203171456888008,2.1169474727452924,1.557978196233895,1.599603567888999,0.8741328047571854,2.479682854311199,6.225966303270565,3.3538156590683847,5.060455896927651,0.568786648624267,0.38013371537726837,0.6054373752616463,1.3587786259541985,0.4722598105548038,0.658722939927297,0.731664421312252,0.3965814824822125,0.4920703569283399
Mitchell Robinson,109,2025.0,True,580,824,76,70,95,110,245,351,0,0,90,221,212,248,10.311111111111112,14.648888888888889,1.3511111111111112,1.2444444444444445,1.6888888888888889,1.9555555555555555,3.7688888888888887,0.0,3.928888888888889,4.408888888888889,0.698005698005698,,0.6469748349098697,1.0857142857142856,0.0,0.6498416415343884,0.15000000000000002,0.8802357819560045,0.6071648101382524
Miles McBride,138,3289.0,True,1302,302,327,92,118,31,458,1124,276,705,110,136,231,602,14.251140164183642,3.305564001216175,3.579203405290362,1.006993006993007,1.2915779872301612,0.3393128610519915,2.528428093645485,7.716631194892065,1.4885983581635756,6.589236850106415,0.5302491103202847,0.39148936170212767,0.5499053926206244,3.5543478260869565,0.6272241992882562,0.5891317202945855,0.7409125041957202,0.2819815863884471,0.7292606468849547
Mikal Bridges,197,6892.0,True,3109,696,699,267,230,126,1269,2555,363,1011,208,251,353,726,16.239698200812537,3.6355194428322695,3.6511897852582704,1.3946604759141032,1.2013929193267556,0.6581543818920488,1.8438769587928032,5.280905397562391,1.3110853163087637,3.792222867092281,0.5677103718199609,0.3590504451038576,0.5832057746563419,2.6179775280898876,0.39569471624266145,0.5692795157094719,0.6478536598071685,0.28903172245683495,0.5832181268099834
Josh Hart,176,6005.0,True,2213,1507,916,350,239,57,836,1649,224,615,317,423,464,583,13.266944213155703,9.034471273938385,5.491423813488759,2.0982514571190674,1.4328059950041632,0.3417152373022481,2.7816819317235635,3.686927560366361,2.535886761032473,3.4950874271440466,0.5748938750758035,0.3642276422764228,0.6029578447186016,2.617142857142857,0.37295330503335355,0.542265062831747,0.4901399998714981,0.44775409364725094,0.5235918040764934
Precious Achiuwa,65,1202.0,True,393,326,55,46,48,42,170,341,10,37,43,73,83,-50,11.770382695507488,9.763727121464226,1.6472545757071548,1.377703826955075,1.437603993344426,1.2579034941763727,2.48585690515807,1.108153078202995,2.1863560732113143,-1.497504159733777,0.5131964809384164,0.2702702702702703,0.5266402229845626,1.1956521739130435,0.10850439882697947,0.5088269176636273,0.1413088685776981,0.509815081686787,0.2760178016505881
Cameron Payne,86,1190.0,True,530,112,212,59,44,17,191,483,98,277,50,57,133,197,16.03361344537815,3.388235294117647,6.413445378151261,1.784873949579832,1.3310924369747898,0.5142857142857142,4.023529411764706,8.37983193277311,1.7243697478991598,5.959663865546219,0.4968944099378882,0.35379061371841153,0.5215714060777831,3.593220338983051,0.5734989648033126,0.5073084943367886,0.6238131437454651,0.29702302343281284,0.6183112633283775
Landry Shamet,127,2213.0,True,867,168,116,64,59,11,300,662,193,470,74,107,156,369,14.103931314957071,2.7329417080885676,1.8870311793944872,1.0411206507004067,0.9597830998644374,0.1789426118391324,2.5377315860822414,7.645729778581112,1.7406235878897425,6.0027112516945325,0.5989425981873112,0.4106382978723404,0.6113555593162971,1.8125,0.7099697885196374,0.4938539474294268,0.7426896379574267,0.23029766075174607,0.6284495272716634
Karl-Anthony Towns,180,5908.0,True,3890,2167,556,457,166,121,1376,2675,303,765,835,986,636,991,23.703452945159107,13.204468517264726,3.387948544346649,2.784698713608666,1.011509817197021,0.7373053486797563,3.875423155044008,4.6614759647935005,6.008124576844956,6.038591740013541,0.5710280373831775,0.396078431372549,0.6256352851867577,1.2166301969365427,0.28598130841121494,0.45889686445927524,0.5546084563782637,0.6974148602745417,0.40253228826520704
Jalen Brunson,172,6083.0,True,4526,536,1196,428,138,21,1592,3353,427,1150,915,1097,396,722,26.785467696860103,3.1721190202202862,7.078086470491534,2.5329607101759,0.8167022850567154,0.12428078250863062,2.3435804701627485,6.805852375472629,6.492191352950846,4.272891665296728,0.5384730092454518,0.37130434782608696,0.5899866516497727,2.794392523364486,0.3429764390098419,0.4347933438856775,0.7228150927505754,0.21147841428528288,0.4853231853308555
Jordan Clarkson,86,1446.0,True,697,152,106,75,33,10,266,587,72,227,93,113,144,187,17.352697095435683,3.784232365145228,2.6390041493775933,1.8672199170124482,0.8215767634854771,0.24896265560165975,3.5850622406639006,5.651452282157677,2.8132780082987554,4.655601659751038,0.514480408858603,0.31718061674008813,0.5473363487875361,1.4133333333333333,0.38671209540034074,0.37810757594184397,0.44946597376454983,0.2567591532826148,0.4067379133222352
Mohamed Diawara,75,678.0,True,253,103,59,33,18,6,93,226,49,136,18,24,53,46,13.43362831858407,5.469026548672566,3.1327433628318584,1.752212389380531,0.9557522123893806,0.3185840707964602,2.814159292035398,7.221238938053097,1.2743362831858407,2.4424778761061945,0.5199115044247787,0.3602941176470588,0.5347480554616165,1.7878787878787878,0.6017699115044248,0.36536635614232615,0.5407025583166265,0.24685241528023993,0.35388787822100654
Jericho Sims,39,420.0,True,64,129,22,21,8,10,28,46,0,0,8,13,46,26,5.485714285714286,11.057142857142857,1.8857142857142857,1.8,0.6857142857142857,0.8571428571428571,3.942857142857143,0.0,1.1142857142857143,2.2285714285714286,0.6086956521739131,,0.6187161639597835,1.0476190476190477,0.0,0.22798368085856716,0.0641631575639495,0.48606424860362735,0.3315123854234456
Ariel Hukporti,90,793.0,True,186,243,42,58,12,46,73,124,1,5,39,63,116,-13,8.443883984867592,11.031525851197982,1.9066834804539723,2.6330390920554856,0.544766708701135,2.0882723833543504,5.266078184110971,0.22698612862547288,2.860025220680958,-0.5901639344262295,0.592741935483871,0.2,0.6129712628526233,0.7241379310344828,0.04032258064516129,0.18296263028973903,0.1043479870654922,0.648741643047056,0.20092483204977013
